年月日,"降水量合計(mm)","平均気温(℃)","最高気温(℃)","最低気温(℃)","平均湿度(％)","最小(％)","日照時間(h)",当年(kWh)
2025/2/19,0,2.7,7.7,-1.9,33,10,10.4,0
2025/2/18,0,4.1,9,-1.5,27,14,8.6,0
2025/2/17,0,8.2,15.8,2.6,48,19,7.8,1.1
2025/2/16,0,10.6,16.1,5.9,48,25,5.8,4.4
2025/2/15,0,8.7,14.4,2.4,44,24,10.2,10.5
2025/2/14,0,6.2,14.1,-3.4,35,13,10.4,12.3
2025/2/13,0,5.2,10.9,-0.2,40,21,9.8,15.8
2025/2/12,0,3.3,10.9,-4,51,32,8.2,14.1
2025/2/11,0,3.4,8.8,-3.4,45,20,10.2,15.9
2025/2/10,0,4,10.9,-2.3,38,16,10.2,14.2
2025/2/9,0,3.7,10.4,-2.4,37,13,9.8,16.9
2025/2/8,0,3.1,8.3,-1.3,40,20,9.9,8.9
2025/2/7,0,3.1,8.9,-4.3,35,13,7.5,12.1
2025/2/6,0,3.3,9,-1.8,26,12,9.6,13
2025/2/5,0,3,9,-2.8,40,11,7.8,14.6
2025/2/4,0,5.2,10.2,1,53,27,7.4,14.2
2025/2/3,0.5,5.3,9.8,2.5,75,47,1.5,12.2
2025/2/2,4.5,4,7.7,2.8,93,53,0,12.4
2025/2/1,0,6.2,11.8,-0.7,45,22,6.8,10.2
2025/1/31,0,5.5,12.1,-0.3,39,17,9.8,15.7
2025/1/30,0,4.2,11.7,-4.5,44,15,9.7,10.7
2025/1/29,0,5.9,12.4,-0.2,34,10,9.7,11.4
2025/1/28,0,7.2,14.3,1,48,29,9.1,13.7
2025/1/27,0,4.5,10.3,-2.4,54,27,3.6,13.7
2025/1/26,0,6.3,11.6,1.8,41,22,9.7,12.6
2025/1/25,0,6.6,11.2,2.7,57,16,7,10.5
2025/1/24,1.5,7.5,13.8,-0.4,67,29,9.6,12.7
2025/1/23,0,6.4,13.3,1.1,64,39,9,9.4
2025/1/22,0,7.3,13.5,2,44,22,9.2,11.8
2025/1/21,1.5,8.4,13,5.2,76,42,6.3,13.3
2025/1/20,1,8.6,14.2,2.4,68,45,6.4,13.9
2025/1/19,0,4,9.4,-2.9,62,33,3.6,15.2
2025/1/18,0,3.6,9.2,-1.3,42,25,9.6,15.4
2025/1/17,0,3.7,8.3,-2.8,43,22,9.5,15.1
2025/1/16,0,3.4,8.2,-1,46,26,4.7,12.5
2025/1/15,0,4.7,13.4,-2.3,58,29,8.8,10.1
2025/1/14,0,4.1,13,-3.4,58,23,9.4,10.5
2025/1/13,0,5.1,12.2,-2.1,56,27,9.2,13.2
2025/1/12,0,3.3,7.8,-1.5,68,37,0.9,8.9
2025/1/11,0,2.9,10.6,-3.9,51,23,8.3,14.4
2025/1/10,0,2.9,8.6,-3.5,38,18,9.3,11.7
2025/1/9,0,3.7,12.2,-4.1,50,16,9.3,10.3
2025/1/8,0,4.1,10.8,-2.5,51,20,7.7,10.3
2025/1/7,0.5,7.4,13.7,1.5,69,36,2.1,14.4
2025/1/6,19,2.7,7,-2.7,80,41,0.2,12.4
2025/1/5,0,2.2,9.7,-4.1,61,34,7.5,11.2
2025/1/4,0,3.9,9.5,-0.8,52,20,7.7,11.9
2025/1/3,0,4.7,7.1,1.6,75,55,0.2,5.2
2025/1/2,0,5.4,14.2,-3.2,54,22,8.8,12.6
2025/1/1,0,6.3,11.5,0.4,32,19,9.2,13
2024/12/31,0,6.4,14.8,-0.7,56,23,7.4,13.2
2024/12/30,0,4.9,10.9,-1.2,51,24,7.3,14.4
2024/12/29,0,3.4,11.9,-4.1,62,24,8.6,13.5
2024/12/28,0,2.8,10.4,-3.6,67,30,6.8,13.7
2024/12/27,0,5.9,11.6,-0.3,49,30,6.3,13.5
2024/12/26,0,7.3,15.8,-0.4,54,25,7.8,9
2024/12/25,0,5.9,10.6,0.8,43,28,6.6,11.7
2024/12/24,0,5.1,11.9,-2.2,50,19,9.1,14.7
2024/12/23,0,5,11.4,-1.5,36,14,9.2,11.3
2024/12/22,0,5.7,10.2,0.2,48,27,7.1,11.2
2024/12/21,0,7.3,17.4,-1.6,65,26,8.6,8.3
2024/12/20,0,6.1,11.2,0.5,44,20,6.5,14.6
2024/12/19,0,4.9,8.7,0.5,57,31,6.1,12.7
2024/12/18,0,5.6,12.2,-2,61,24,8.8,9.3
2024/12/17,0,5.6,13.7,-2.1,66,26,9.1,14.8
2024/12/16,0,4.7,12.6,-2.2,64,29,9,10.5
2024/12/15,0,4,12.7,-2.6,57,25,9.2,10.9
2024/12/14,0,6.2,11.7,-0.3,44,19,8.6,13.4
2024/12/13,0,2.6,6.4,-2.6,64,38,0,12
2024/12/12,0,5.8,11,0.2,40,20,9.2,9.8
2024/12/11,0,6.7,13.7,0.7,58,31,7.4,9.9
2024/12/10,0,6.8,14.2,0.3,54,23,9.1,10.6
2024/12/9,0,6.7,12.8,1.4,45,24,9.2,9.9
2024/12/8,0,6,12.7,1.3,62,27,7.5,9.5
2024/12/7,0,7.1,12.1,1.2,60,34,8.5,9.8
2024/12/6,0,8.9,16.8,1,56,21,8.9,7.6
2024/12/5,0,10,15.6,5.4,57,36,7.1,10.1
2024/12/4,0,10.8,17.8,5.2,63,32,7.2,9.3
2024/12/3,0,10.1,18.7,3.3,76,36,9.2,9.8
2024/12/2,0,10.3,17.1,3.7,73,45,9,8.6
2024/12/1,0,10.1,17.2,4.1,59,27,9.3,13
2024/11/30,0,8.4,16.2,0.8,60,21,9.3,7.1
2024/11/29,0,9,15.9,1.7,51,22,6.2,10.6
2024/11/28,0,11,17,5.6,60,22,9.3,7.8
2024/11/27,13,14.1,20.8,9.1,88,62,6.8,9.7
2024/11/26,9,7.9,12.9,2,79,47,2.3,9
2024/11/25,0,9.2,14.8,4.3,55,32,9.4,6.3
2024/11/24,0,10.2,15.4,5.7,51,29,8.7,7.9
2024/11/23,0,11,15.5,6.5,46,27,9.4,11.4
2024/11/22,0,10.9,18.5,3.7,78,43,9.1,9.9
2024/11/21,2.5,10.5,14.5,6.8,95,82,1.3,5.1
2024/11/20,4,6.7,8.4,4.8,85,71,0,5.4
2024/11/19,0,9.3,13.2,5.2,44,31,9.4,7.8
2024/11/18,0.5,13.5,18,8.7,52,32,1.4,5.7
2024/11/17,0,18.7,24.6,14.8,79,56,6.7,8.9
2024/11/16,0,15.3,18.7,11.8,88,61,0,3.5
2024/11/15,8.5,15.2,17.8,13.1,94,83,0,4.5
2024/11/14,0,15.3,18.2,9.8,67,51,3.1,7.7
2024/11/13,0,16.3,20.7,10.4,61,34,9.3,5
2024/11/12,0,14.8,21.3,8.4,77,47,9.5,6.4
2024/11/11,0,16.5,22.2,12,80,49,0.0 ],6.7
2024/11/10,0,13.1,16.5,10,70,49,0.5,3.5
2024/11/9,0,10.9,17.6,4.2,67,30,9.8,4.5
2024/11/8,0,11.1,16.2,6.8,52,29,9.8,5.7
2024/11/7,0,12.2,16.5,8.6,52,30,9.9,9.6
2024/11/6,0,13.9,16,10.6,71,56,0.2,5.2
2024/11/5,0,15.9,20.5,11,72,47,3,5.2
2024/11/4,0,15.5,23.5,8.9,77,47,9.2,3.9
2024/11/3,0,17.6,22.2,11.6,59,30,9.4,8.2
2024/11/2,32.5,16,16.9,14.9,98,87,0,6
2024/11/1,0,15.6,20.2,10.2,80,56,3.4,5.5
2024/10/31,0,15.6,20.9,11.7,60,31,7.5,3.9
2024/10/30,18.5,16.8,24,12.4,74,40,5.3,5.2
2024/10/29,20.5,15.4,18.8,12.2,74,50,0,4.8
2024/10/28,6,19.3,21.5,17.4,81,61,0,5.8
2024/10/27,0,19.4,23.8,16.5,84,62,3.3,5.4
2024/10/26,0,18.1,20.6,15.8,88,71,0,5
2024/10/25,0.5,20.2,22,17.3,79,65,0,6.4
2024/10/24,0,22.1,26,17.7,80,62,4.1,4.3
2024/10/23,0,19.5,21.2,18.2,90,81,0,6.3
2024/10/22,0,18.6,24.1,11.8,68,46,4.1,6.2
2024/10/21,0,15.1,20.9,8.8,65,41,6.5,3.7
2024/10/20,0,16.9,21.8,11.1,52,34,6.7,6.2
2024/10/19,2,23.5,29.1,20.3,87,62,3.1,5.8
2024/10/18,2,20.7,21.7,19.6,97,90,0,5
2024/10/17,0,22.1,26.1,18.5,84,64,1.5,5.2
2024/10/16,0,20.7,24.2,16.6,82,62,0,7.1
2024/10/15,0,21.9,27.5,17.8,71,42,8.1,5.3
2024/10/14,0,19.9,26,13.9,75,40,10.4,5.9
2024/10/13,0,20.2,26.4,15,72,33,10.7,3.3
2024/10/12,0,20.3,25.9,14.8,76,46,10.3,3.4
2024/10/11,0,18.9,24.8,12.7,69,40,9,4.5
2024/10/10,0,17.4,21.2,13.7,79,66,0.3,6.7
2024/10/9,29,16.5,18.2,15,91,80,0,6
2024/10/8,21.5,19,24,14.8,94,73,0,4
2024/10/7,0,24.9,30.7,20.3,84,62,3,6.1
2024/10/6,0,21.2,23.1,19,96,88,0,7.9
2024/10/5,5,20.6,22.9,19,96,84,0,3.9
2024/10/4,4,22.7,27.7,20.2,97,83,0.3,8.4
2024/10/3,9.5,22.4,25,21.1,91,76,0,4.4
2024/10/2,0,25.7,33,19.9,74,40,10.9,6.4
2024/10/1,0.5,22.8,26.8,19.1,85,68,2.9,5.7
2024/9/30,0,22.7,26.1,20,76,57,0.6,5.7
2024/9/29,1.5,22.4,24.2,21.2,88,74,0,5.4
2024/9/28,0,24.4,28.6,21.3,82,62,0.8,6.6
2024/9/27,2.5,23.8,25.7,22.8,92,81,0,6.4
2024/9/26,0,25.1,30.9,19.9,74,50,9.2,5.9
2024/9/25,0.5,20.9,24.8,17.3,80,54,0,6.7
2024/9/24,0,20.7,25.2,16.8,65,45,0.6,4.4
2024/9/23,0,22.8,27.5,19.6,76,53,3.5,6.4
2024/9/22,3.5,22.5,25,20.2,94,86,0,5.1
2024/9/21,0.5,25.9,30.3,22.2,89,75,0.2,8.5
2024/9/20,0,28.6,35.7,23.7,81,44,4.8,9.6
2024/9/19,0,27.3,32,24.5,86,62,2.5,8.7
2024/9/18,2,28.3,36.4,24.7,85,45,7.3,9.2
2024/9/17,0,28.4,34.8,23.5,77,52,11.5,6.8
2024/9/16,0.5,26.3,29.3,23.8,86,71,0,11.3
2024/9/15,9.5,30,34.9,25.3,76,53,9.5,6.8
2024/9/14,0,29.9,35,25.5,74,47,10.8,9.7
2024/9/13,0,30.3,35,26.4,73,54,10.8,9.7
2024/9/12,0,30.2,35.3,26.6,76,53,10.3,8.6
2024/9/11,0,30.1,35.9,26,76,47,11.8,7.4
2024/9/10,0,29.4,34.8,25.5,75,45,9.7,7.8
2024/9/9,1,28.5,33.4,25.5,79,52,6.6,2.4
2024/9/8,16,28.5,35.3,24.7,82,45,7.4,2.4
2024/9/7,0,29.2,35.2,24.3,74,42,10.6,2.4
2024/9/6,0,28.7,35.1,23.8,73,38,9.5,7.7
2024/9/5,0,27.5,32.8,22,71,46,12,5.5
2024/9/4,0,25.8,31,22.3,75,51,10.1,8.1
2024/9/3,0,25.5,28.1,23.1,84,67,0,6.5
2024/9/2,0.5,29.9,34.6,26.2,77,58,11.6,9.8
2024/9/1,9.5,26.3,30.3,23.6,95,80,0.1,9.8
2024/8/31,27.5,27.7,32.8,23.7,90,64,1.9,8
2024/8/30,87,26.2,27.7,24.7,99,91,0,7.4
2024/8/29,102,27.2,31.8,24.5,87,61,0,8.1
2024/8/28,16.5,28.1,32.5,24.4,82,58,3.6,9.4
2024/8/27,9.5,27.8,31.9,25,85,67,2.2,9.7
2024/8/26,0,30,34.9,26.5,70,46,9.9,8.9
2024/8/25,0.5,29.1,34.9,24.7,81,52,8.4,5.6
2024/8/24,27.5,28.4,36.3,24.5,87,53,5,8.4
2024/8/23,0,30.2,34.4,27.8,77,59,6.2,10.5
2024/8/22,0,28.3,32.9,25.8,85,67,0.5,9.7
2024/8/21,0.5,29.2,35.2,25.8,79,46,9.8,7.8
2024/8/20,18.5,28.5,35.2,23.9,82,44,8.2,8.3
2024/8/19,37.5,28.6,35.6,23,85,56,7.5,9.7
2024/8/18,0,30.3,35,26.9,80,57,4.4,9.6
2024/8/17,0,31,37.2,26.4,72,41,10.2,6.6
2024/8/16,25,27.2,29.4,25.4,92,79,0,7.9
2024/8/15,0,30.2,35.4,25.5,76,47,8.8,9.1
2024/8/14,0.5,29.3,32.9,26.8,83,67,2.8,10.5
2024/8/13,0,31.6,37.1,27.4,68,40,11.8,9.5
2024/8/12,0,32.1,37.4,27.2,63,44,10.7,10.7
2024/8/11,0,31.3,37.5,25.4,64,37,10.7,10.2
2024/8/10,0,30,35.2,26,72,47,7,8.9
2024/8/9,0,29.6,35.3,26.5,79,49,9.1,9.7
2024/8/8,0,29,34.4,23.6,81,57,7.1,6.5
2024/8/7,64,28,34.7,22.9,84,48,3.6,10.2
2024/8/6,0,29.9,34.2,27.3,75,54,2.1,9.9
2024/8/5,0,29.9,36.2,25.6,73,48,4.9,11.7
2024/8/4,0,30.6,37.4,25.5,65,41,10,7.1
2024/8/3,0,30.5,36.1,26.4,67,44,13,9.1
2024/8/2,0,29.8,34.8,25.4,67,44,10.3,7.5
2024/8/1,0,28.9,33.5,25,71,47,11,8.9
2024/7/31,4.5,29.7,35.2,25.5,73,46,8.8,8.7
2024/7/30,0,30.8,35.8,28.2,65,46,4.1,10.3
2024/7/29,0,32.3,38.7,28.2,60,35,11,12.6
2024/7/28,0,31,36.8,25.6,72,43,10.2,9.6
2024/7/27,1,29.3,36.9,25.3,81,43,7.2,11.1
2024/7/26,0.5,29.7,37.2,24.9,74,35,7.6,10.1
2024/7/25,0.5,29.7,36.5,25.7,74,45,6.8,9
2024/7/24,7.5,29.3,35.9,23.5,75,42,6.6,11.7
2024/7/23,0,30.8,37.2,24.6,73,38,12.2,10
2024/7/22,24,29.7,37.3,24.9,79,40,9,9.4
2024/7/21,4.5,29.8,36.7,25.4,76,37,11.9,10.1
2024/7/20,58.5,30.4,36.2,25.4,79,49,10.1,7.5
2024/7/19,0,30.4,36.8,25.2,74,43,5.8,9.8
2024/7/18,0,28.8,34.5 ),24.1 ),77,50 ),5.9,6.8
2024/7/17,2.5,26.4,32.3,22.3,84,55,4.4,10.2
2024/7/16,7,23.7,26.2,22.3,90,78,0,4.6
2024/7/15,1,24.3,27.3,22.7,89,77,0,7.6
2024/7/14,2,24.9,27.1,23.9,96,86,0,7.2
2024/7/13,0,26.9,31.8,22.7,78,41,6.9,3.9
2024/7/12,15,24.1,26,22.6,96,82,0,8.1
2024/7/11,0,26.1,28.7,24,88,75,0,9.1
2024/7/10,0,28.8,32.3,25.5,77,61,1.9,9.9
2024/7/9,0,29.6,35,25.9,74,44,5.5,9.4
2024/7/8,0,32.1,38.6,27,66,34,11.5,7.7
2024/7/7,0,30.5,36.7,24.8,74,46,10.5,9.5
2024/7/6,34,28.3,35.2,25,84,50,6.8,10.1
2024/7/5,0,30.3,36.3,24.7,68,43,12.9,7.3
2024/7/4,0,29.8,34.5,24.6,73,49,8.5,8.4
2024/7/3,0,27.3,34.3,23,78,48,5.9,8.8
2024/7/2,0.5,27.9,32.4,23.3,73,37,5.6,6.7
2024/7/1,2,26.6,29.2,23.8,89,82,0,10.7
2024/6/30,2,25.7,28.7,23.1,85,73,0,5.5
2024/6/29,0,24.9,30.3,21.7,81,52,6.1,8.1
2024/6/28,43,22.6,24.2,21.7,96,80,0,5.2
2024/6/27,0,25.7,29.9,23.5,66,47,3.5,6.5
2024/6/26,0,27.4,31.4,24.6,68,44,1.7,10.4
2024/6/25,0,28.3,32,24.5,75,54,0.1,3.8
2024/6/24,0,27.4,34.6,20.8,77,42,6.6,4.8
2024/6/23,20,21.8,24,20.2,92,52,0,6.1
2024/6/22,0,24.3,30.9,15.8,61,36,8.1,3.7
2024/6/21,36.5,20.3,23.4,17.5,92,79,0,8.1
2024/6/20,0,24.6,30.1,19.1,69,39,7.9,4.8
2024/6/19,0,23.5,31.3,15.8,69,30,13.9,8
2024/6/18,69.5,19.4,23.6,18.4,98,87,0,3.5
2024/6/17,0.5,26.7,31,23.2,69,42,3.8,5
2024/6/16,6.5,24.8,30.5,19.2,78,51,7.4,4.7
