date,average_temperature(℃),use_aircon(bool),sunshine_hours(h)
2025/3/1,13.3,1,10.2
2025/3/2,14.6,1,6.8
2025/3/3,5.9,1,0
2025/3/4,2.4,1,0.2
2025/3/5,5.3,1,0
2025/3/6,9.1,1,0
2025/3/7,6.9,1,10.7
2025/3/8,3.2,1,0.1
2025/3/9,6.9,1,9.3
2025/3/10,9.1,1,10.8
2025/3/11,10.3,1,0
2025/3/12,11.6,1,0.2
2025/3/13,14.5,1,7.4
2025/3/14,12.8,1,10.1
2025/3/15,8.9,1,1
2025/3/16,6.4,1,0
2025/3/17,10,1,9
2025/3/18,8.6,1,7.8
2025/3/19,5.6,1,3.1
2025/3/20,8.3,1,9.1
2025/3/21,11.2,1,11.5
2025/3/22,15.8,1,11.5
2025/3/23,17.3,1,10
2025/3/24,14.8,1,2.7
