date,average_temperature(℃),use_aircon(bool),power_consumption(kWh)
2025/2/19,2.7,1,0
2025/2/18,4.1,1,0
2025/2/17,8.2,1,1.1
2025/2/16,10.6,1,4.4
2025/2/15,8.7,1,10.5
2025/2/14,6.2,1,12.3
2025/2/13,5.2,1,15.8
2025/2/12,3.3,1,14.1
2025/2/11,3.4,1,15.9
2025/2/10,4,1,14.2
2025/2/9,3.7,1,16.9
2025/2/8,3.1,1,8.9
2025/2/7,3.1,1,12.1
2025/2/6,3.3,1,13
2025/2/5,3,1,14.6
2025/2/4,5.2,1,14.2
2025/2/3,5.3,1,12.2
2025/2/2,4,1,12.4
2025/2/1,6.2,1,10.2
2025/1/31,5.5,1,15.7
2025/1/30,4.2,1,10.7
2025/1/29,5.9,1,11.4
2025/1/28,7.2,1,13.7
2025/1/27,4.5,1,13.7
2025/1/26,6.3,1,12.6
2025/1/25,6.6,1,10.5
2025/1/24,7.5,1,12.7
2025/1/23,6.4,1,9.4
2025/1/22,7.3,1,11.8
2025/1/21,8.4,1,13.3
2025/1/20,8.6,1,13.9
2025/1/19,4,1,15.2
2025/1/18,3.6,1,15.4
2025/1/17,3.7,1,15.1
2025/1/16,3.4,1,12.5
2025/1/15,4.7,1,10.1
2025/1/14,4.1,1,10.5
2025/1/13,5.1,1,13.2
2025/1/12,3.3,1,8.9
2025/1/11,2.9,1,14.4
2025/1/10,2.9,1,11.7
2025/1/9,3.7,1,10.3
2025/1/8,4.1,1,10.3
2025/1/7,7.4,1,14.4
2025/1/6,2.7,1,12.4
2025/1/5,2.2,1,11.2
2025/1/4,3.9,1,11.9
2025/1/3,4.7,1,5.2
2025/1/2,5.4,1,12.6
2025/1/1,6.3,1,13
2024/12/31,6.4,1,13.2
2024/12/30,4.9,1,14.4
2024/12/29,3.4,1,13.5
2024/12/28,2.8,1,13.7
2024/12/27,5.9,1,13.5
2024/12/26,7.3,1,9
2024/12/25,5.9,1,11.7
2024/12/24,5.1,1,14.7
2024/12/23,5,1,11.3
2024/12/22,5.7,1,11.2
2024/12/21,7.3,1,8.3
2024/12/20,6.1,1,14.6
2024/12/19,4.9,1,12.7
2024/12/18,5.6,1,9.3
2024/12/17,5.6,1,14.8
2024/12/16,4.7,1,10.5
2024/12/15,4,1,10.9
2024/12/14,6.2,1,13.4
2024/12/13,2.6,1,12
2024/12/12,5.8,1,9.8
2024/12/11,6.7,1,9.9
2024/12/10,6.8,1,10.6
2024/12/9,6.7,1,9.9
2024/12/8,6,1,9.5
2024/12/7,7.1,1,9.8
2024/12/6,8.9,1,7.6
2024/12/5,10,1,10.1
2024/12/4,10.8,1,9.3
2024/12/3,10.1,1,9.8
2024/12/2,10.3,1,8.6
2024/12/1,10.1,1,13
2024/11/30,8.4,1,7.1
2024/11/29,9,1,10.6
2024/11/28,11,1,7.8
2024/11/27,14.1,1,9.7
2024/11/26,7.9,1,9
2024/11/25,9.2,1,6.3
2024/11/24,10.2,1,7.9
2024/11/23,11,1,11.4
2024/11/22,10.9,1,9.9
2024/11/21,10.5,1,5.1
2024/11/20,6.7,1,5.4
2024/11/19,9.3,1,7.8
2024/11/18,13.5,1,5.7
2024/11/17,18.7,0,8.9
2024/11/16,15.3,1,3.5
2024/11/15,15.2,1,4.5
2024/11/14,15.3,1,7.7
2024/11/13,16.3,1,5
2024/11/12,14.8,1,6.4
2024/11/11,16.5,1,6.7
2024/11/10,13.1,1,3.5
2024/11/9,10.9,1,4.5
2024/11/8,11.1,1,5.7
2024/11/7,12.2,1,9.6
2024/11/6,13.9,1,5.2
2024/11/5,15.9,1,5.2
2024/11/4,15.5,1,3.9
2024/11/3,17.6,1,8.2
2024/11/2,16,1,6
2024/11/1,15.6,1,5.5
2024/10/31,15.6,1,3.9
2024/10/30,16.8,1,5.2
2024/10/29,15.4,1,4.8
2024/10/28,19.3,0,5.8
2024/10/27,19.4,0,5.4
2024/10/26,18.1,0,5
2024/10/25,20.2,0,6.4
2024/10/24,22.1,0,4.3
2024/10/23,19.5,0,6.3
2024/10/22,18.6,0,6.2
2024/10/21,15.1,1,3.7
2024/10/20,16.9,1,6.2
2024/10/19,23.5,0,5.8
2024/10/18,20.7,0,5
2024/10/17,22.1,0,5.2
2024/10/16,20.7,0,7.1
2024/10/15,21.9,0,5.3
2024/10/14,19.9,0,5.9
2024/10/13,20.2,0,3.3
2024/10/12,20.3,0,3.4
2024/10/11,18.9,0,4.5
2024/10/10,17.4,1,6.7
2024/10/9,16.5,1,6
2024/10/8,19,0,4
2024/10/7,24.9,0,6.1
2024/10/6,21.2,0,7.9
2024/10/5,20.6,0,3.9
2024/10/4,22.7,0,8.4
2024/10/3,22.4,0,4.4
2024/10/2,25.7,0,6.4
2024/10/1,22.8,0,5.7
2024/9/30,22.7,0,5.7
2024/9/29,22.4,0,5.4
2024/9/28,24.4,0,6.6
2024/9/27,23.8,0,6.4
2024/9/26,25.1,0,5.9
2024/9/25,20.9,0,6.7
2024/9/24,20.7,0,4.4
2024/9/23,22.8,0,6.4
2024/9/22,22.5,0,5.1
2024/9/21,25.9,0,8.5
2024/9/20,28.6,1,9.6
2024/9/19,27.3,1,8.7
2024/9/18,28.3,1,9.2
2024/9/17,28.4,1,6.8
